GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
50710,JP Morgan - AUD,550385,201501,-390217.24
50710,JP Morgan - AUD,550385,201502,230944.09
50710,JP Morgan - AUD,550385,201503,367259.69
50710,JP Morgan - AUD,550385,201504,567962.85
50710,JP Morgan - AUD,550385,201505,753175.6
50710,JP Morgan - AUD,550385,201506,-907767.48
50710,JP Morgan - AUD,550385,201507,-52225619.9
50710,JP Morgan - AUD,550385,201508,631666.06
50710,JP Morgan - AUD,550385,201509,-792896.76
50710,JP Morgan - AUD,550385,201510,430847.59
50710,JP Morgan - AUD,550385,201511,5159146.7
50710,JP Morgan - AUD,550385,201512,-2087233.74
50710,JP Morgan - AUD,550385,201601,-245984.37
50710,JP Morgan - AUD,550385,201602,-38935553.25
50710,JP Morgan - AUD,550385,201603,428249.08
50710,JP Morgan - AUD,550385,201604,-115713.12
50710,JP Morgan - AUD,550385,201605,-14276643.88
50710,JP Morgan - AUD,550385,201606,-697240.37
50710,JP Morgan - AUD,550385,201607,-22280111.08
50710,JP Morgan - AUD,550385,201608,-360576.62
50710,JP Morgan - AUD,550385,201609,139595.83
50710,JP Morgan - AUD,550385,201610,-480223.38
50710,JP Morgan - AUD,550385,201611,-23088962.89
50710,JP Morgan - AUD,550385,201612,716203.02
50710,JP Morgan - AUD,550385,201701,-6875640.77
50710,JP Morgan - AUD,550385,201702,-7019373.45
50710,JP Morgan - AUD,550385,201703,-1224536.61
50710,JP Morgan - AUD,550385,201704,-6652150.09
50710,JP Morgan - AUD,550385,201705,-55060175.7
50710,JP Morgan - AUD,550385,201706,-8709343.48
50710,JP Morgan - AUD,550385,201707,-9660600.69
50710,JP Morgan - AUD,550385,201708,-7795397.97
50710,JP Morgan - AUD,550385,201709,-6134200.61
50710,JP Morgan - AUD,550385,201710,-6121497.8
50710,JP Morgan - AUD,550385,201711,-6986934.77
50710,JP Morgan - AUD,550385,201712,-9072316.68
50710,JP Morgan - AUD,550385,201801,-4278051.09
50710,JP Morgan - AUD,550385,201802,-4836226.03
50710,JP Morgan - AUD,550385,201803,-4326717.31
50710,JP Morgan - AUD,550385,201804,-6488703.81
50710,JP Morgan - AUD,550385,201805,-5740694.7
50710,JP Morgan - AUD,550385,201806,-3424505.16
50710,JP Morgan - AUD,550385,201807,-8528302.17
50710,JP Morgan - AUD,550385,201808,-4253688.58
50710,JP Morgan - AUD,550385,201809,-6473005.13
50710,JP Morgan - AUD,550385,201810,-2451870.03
50710,JP Morgan - AUD,550385,201811,-11543984.42
50710,JP Morgan - AUD,550385,201812,-715986.36
50710,JP Morgan - AUD,550385,201901,-9641525.96
50710,JP Morgan - AUD,550385,201902,-7660351.72
50710,JP Morgan - AUD,550385,201903,-3513628.76
50710,JP Morgan - AUD,550385,201904,-5197574.38
50710,JP Morgan - AUD,550385,201905,-3535437.23
50710,JP Morgan - AUD,550385,201906,-7657768.05
112010,JP Morgan - USD,550406,201501,5722327.32
112010,JP Morgan - USD,550406,201502,-158189973.6
112010,JP Morgan - USD,550406,201503,3467850.66
112010,JP Morgan - USD,550406,201504,90814.02
112010,JP Morgan - USD,550406,201505,4111421.84
112010,JP Morgan - USD,550406,201506,-2268626.43
112010,JP Morgan - USD,550406,201507,-98459357.93
112010,JP Morgan - USD,550406,201508,-263197.34
112010,JP Morgan - USD,550406,201509,-156317431.1
112010,JP Morgan - USD,550406,201510,6542232.64
112010,JP Morgan - USD,550406,201511,6906626.34
112010,JP Morgan - USD,550406,201512,-70698612.86
112010,JP Morgan - USD,550406,201601,87747559.9
112010,JP Morgan - USD,550406,201602,47170041.97
112010,JP Morgan - USD,550406,201603,5249369.82
112010,JP Morgan - USD,550406,201604,10017396.11
112010,JP Morgan - USD,550406,201605,-4238053.65
112010,JP Morgan - USD,550406,201606,-8622554.97
112010,JP Morgan - USD,550406,201607,36285852.26
112010,JP Morgan - USD,550406,201608,-17835228.94
112010,JP Morgan - USD,550406,201609,-438065446.2
112010,JP Morgan - USD,550406,201610,2714690.85
112010,JP Morgan - USD,550406,201611,-39629158.81
112010,JP Morgan - USD,550406,201612,-24695428.35
112010,JP Morgan - USD,550406,201701,-55848910.68
112010,JP Morgan - USD,550406,201702,-3152210.63
112010,JP Morgan - USD,550406,201703,-73100400.22
112010,JP Morgan - USD,550406,201704,-66078528.85
112010,JP Morgan - USD,550406,201705,-5554890.92
112010,JP Morgan - USD,550406,201706,-40507892.97
112010,JP Morgan - USD,550406,201707,21317960.49
112010,JP Morgan - USD,550406,201708,-114364089.7
112010,JP Morgan - USD,550406,201709,-84576161.15
112010,JP Morgan - USD,550406,201710,-100947966
112010,JP Morgan - USD,550406,201711,-81433003.31
112010,JP Morgan - USD,550406,201712,-109210830.4
112010,JP Morgan - USD,550406,201801,-151878654.6
112010,JP Morgan - USD,550406,201802,-87842041.55
112010,JP Morgan - USD,550406,201803,-71683708.89
112010,JP Morgan - USD,550406,201804,-120477287.3
112010,JP Morgan - USD,550406,201805,-154943411.8
112010,JP Morgan - USD,550406,201806,-84809594.4
112010,JP Morgan - USD,550406,201807,-215509360
112010,JP Morgan - USD,550406,201808,-114686383.5
112010,JP Morgan - USD,550406,201809,-161994596.6
112010,JP Morgan - USD,550406,201810,-109225265
112010,JP Morgan - USD,550406,201811,-225544615.2
112010,JP Morgan - USD,550406,201812,-183909932.1
112010,JP Morgan - USD,550406,201901,-228618459.5
112010,JP Morgan - USD,550406,201902,-189144797.1
112010,JP Morgan - USD,550406,201903,-163112269.2
112010,JP Morgan - USD,550406,201904,-189275840.4
112010,JP Morgan - USD,550406,201905,-119491686.6
112010,JP Morgan - USD,550406,201906,-149943234.7
59610,"JPMorgan Chase, Sydney",661926,201501,21329887.11
59610,"JPMorgan Chase, Sydney",661926,201502,-44748180.21
59610,"JPMorgan Chase, Sydney",661926,201503,-61227281.77
59610,"JPMorgan Chase, Sydney",661926,201504,-34176463.11
59610,"JPMorgan Chase, Sydney",661926,201505,15960243.08
59610,"JPMorgan Chase, Sydney",661926,201506,15165564.85
59610,"JPMorgan Chase, Sydney",661926,201507,40566438.63
59610,"JPMorgan Chase, Sydney",661926,201508,25465466.46
59610,"JPMorgan Chase, Sydney",661926,201509,3372282.75
59610,"JPMorgan Chase, Sydney",661926,201510,4177440.71
59610,"JPMorgan Chase, Sydney",661926,201511,-36045068.42
59610,"JPMorgan Chase, Sydney",661926,201512,-2603443.55
59610,"JPMorgan Chase, Sydney",661926,201601,32291483.27
59610,"JPMorgan Chase, Sydney",661926,201602,-86130378.1
59610,"JPMorgan Chase, Sydney",661926,201603,-21900729.59
59610,"JPMorgan Chase, Sydney",661926,201604,46270418.4
59610,"JPMorgan Chase, Sydney",661926,201605,-17251245.55
59610,"JPMorgan Chase, Sydney",661926,201606,-22812685.45
59610,"JPMorgan Chase, Sydney",661926,201607,-23188022.71
59610,"JPMorgan Chase, Sydney",661926,201608,-11495664.13
59610,"JPMorgan Chase, Sydney",661926,201609,-25354832.79
59610,"JPMorgan Chase, Sydney",661926,201610,8634732.58
59610,"JPMorgan Chase, Sydney",661926,201611,23103469.55
59610,"JPMorgan Chase, Sydney",661926,201612,27896134.41
59610,"JPMorgan Chase, Sydney",661926,201701,-160082259.6
59610,"JPMorgan Chase, Sydney",661926,201702,-15838783.58
59610,"JPMorgan Chase, Sydney",661926,201703,1647040.99
59610,"JPMorgan Chase, Sydney",661926,201704,40353974.09
59610,"JPMorgan Chase, Sydney",661926,201705,4336075.06
59610,"JPMorgan Chase, Sydney",661926,201706,-27458457.54
59610,"JPMorgan Chase, Sydney",661926,201707,-43724437.89
59610,"JPMorgan Chase, Sydney",661926,201708,1472312.39
59610,"JPMorgan Chase, Sydney",661926,201709,13652786.96
59610,"JPMorgan Chase, Sydney",661926,201710,15784851.4
59610,"JPMorgan Chase, Sydney",661926,201711,10768816.95
59610,"JPMorgan Chase, Sydney",661926,201712,-22550685.11
59610,"JPMorgan Chase, Sydney",661926,201801,-39320835.02
59610,"JPMorgan Chase, Sydney",661926,201802,31601023.18
59610,"JPMorgan Chase, Sydney",661926,201803,25523039.1
59610,"JPMorgan Chase, Sydney",661926,201804,13633942.66
59610,"JPMorgan Chase, Sydney",661926,201805,6405506.13
59610,"JPMorgan Chase, Sydney",661926,201806,21713269.66
59610,"JPMorgan Chase, Sydney",661926,201807,-8174017.73
59610,"JPMorgan Chase, Sydney",661926,201808,12201092.85
59610,"JPMorgan Chase, Sydney",661926,201809,6824460.49
59610,"JPMorgan Chase, Sydney",661926,201810,26679824.65
59610,"JPMorgan Chase, Sydney",661926,201811,-31160430.06
59610,"JPMorgan Chase, Sydney",661926,201812,35960516.56
59610,"JPMorgan Chase, Sydney",661926,201901,-15902536.2
59610,"JPMorgan Chase, Sydney",661926,201902,-4399519.47
59610,"JPMorgan Chase, Sydney",661926,201903,13536117.57
59610,"JPMorgan Chase, Sydney",661926,201904,5998862.24
59610,"JPMorgan Chase, Sydney",661926,201905,16517924
59610,"JPMorgan Chase, Sydney",661926,201906,-8996904.05
